INFO  - 2014-11-30 02:38:16.424; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-11-30 02:38:16.443; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/contexts at interval 0
INFO  - 2014-11-30 02:38:16.452; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/contexts/solr-jetty-context.xml
INFO  - 2014-11-30 02:38:16.495; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/webapps/solr.war!/ to /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr-webapp/webapp
INFO  - 2014-11-30 02:38:17.729; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-11-30 02:38:17.777; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-11-30 02:38:17.799; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-11-30 02:38:17.799; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-11-30 02:38:17.800; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-11-30 02:38:17.898; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/solr.xml
INFO  - 2014-11-30 02:38:17.988; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr
INFO  - 2014-11-30 02:38:17.994; org.apache.solr.core.CoreContainer; New CoreContainer 744734406
INFO  - 2014-11-30 02:38:17.994; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-11-30 02:38:18.004; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-11-30 02:38:18.004; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-11-30 02:38:18.007; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-11-30 02:38:18.009; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-11-30 02:38:18.009; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-11-30 02:38:18.009; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-11-30 02:38:18.009; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-11-30 02:38:18.010; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-11-30 02:38:18.010; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-11-30 02:38:18.204; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
